run_accession	sample_name	age_months	replicate	bam_path
SRR13618140	L.stag CNS_3month_1	3	1	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618140.sorted.bam
SRR13618141	L.stag CNS_3month_2	3	2	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618141.sorted.bam
SRR13618144	L.stag CNS_3month_3	3	3	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618144.sorted.bam
SRR13618145	L.stag CNS_3month_4	3	4	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618145.sorted.bam
SRR13618146	L.stag CNS_6month_1	6	1	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618146.sorted.bam
SRR13618148	L.stag CNS_6month_2	6	2	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618148.sorted.bam
SRR13618147	L.stag CNS_6month_3	6	3	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618147.sorted.bam
SRR13618149	L.stag CNS_6month_4	6	4	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618149.sorted.bam
SRR13618150	L.stag CNS_18month_1	18	1	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618150.sorted.bam
SRR13618142	L.stag CNS_18month_2	18	2	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618142.sorted.bam
SRR13618151	L.stag CNS_18month_3	18	3	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618151.sorted.bam
SRR13618143	L.stag CNS_18month_4	18	4	papers/lymnaea_stagnalis_CNS_aging/data/aligned/SRR13618143.sorted.bam
